state,longitude,latitude
Andaman and Nicobar Islands,92.88957896,11.94237332
Andhra Pradesh,79.91620298,16.5541242
Arunachal Pradesh,94.54532681,27.72576542
Assam,92.65731036,26.32134089
Bihar,85.63677401,25.77139354
Chandigarh,76.75872466,30.7426
Chhattisgarh,82.12509334,21.55573858
Dadra and Nagar Haveli,73.09454961,20.21513217
Daman and Diu,72.41121191,20.49456979
Delhi,77.12804518,28.6459443
Goa,73.86601626,15.39350404
Gujarat,72.19574739,22.37440585
Haryana,76.52123743,29.19561628
Himachal Pradesh,76.85561814,31.64946888
Jammu and Kashmir,75.00063062,33.651699
Jharkhand,85.85996246,23.76750555
Karnataka,76.29962468,14.36981709
Kerala,76.21770621,10.32670636
Lakshadweep,72.82992744,10.43639053
Madhya Pradesh,78.08249213,23.6356052
Maharashtra,75.27055447,19.39251561
Manipur,93.8644935,24.73897489
Meghalaya,91.2375107,25.48036736
Mizoram,92.81661901,23.45835659
Nagaland,94.3257526,26.06185708
Odisha,84.98396584,20.52959736
Puducherry,79.75997363,11.94431293
Punjab,75.45295226,30.91206149
Rajasthan,75.22539475,26.49328197
Sikkim,88.51230522,27.3376798
Tamil Nadu,78.76274652,11.15971133
Tripura,91.65871314,23.70930485
Uttar Pradesh,80.65919244,27.06916343
Uttarakhand,78.84563219,29.91025594
West Bengal,88.14959609,23.42134318
Telangana,79.0193,18.1124
Ladakh,77.577049,34.152588
Dadra and Nagar Haveli and Daman and Diu,73.0169,20.1809
